id,username,date,text,hashtags,geo,type,state,tweet,road_closure
1065311613715181568,SacCountyDot,2018-11-21 18:30:55+00:00,sacdot by the numbers  maintenance crews completed nearly 3000 miles of striping on sac county roads in  ,,,official,California,sacdot by the numbers  maintenance crews completed nearly 3000 miles of striping on sac county roads in  ,0
1064601753902026754,SacCountyDot,2018-11-19 19:30:12+00:00,rain is returning  that means the roads will be slick  please slow down and give the car in front of you extra space  remember to call 3-1-1 if you find street flooding in the unincorporated areas of sacramento  ,,,official,California,rain is returning  that means the roads will be slick  please slow down and give the car in front of you extra space  remember to call 3-1-1 if you find street flooding in the unincorporated areas of sacramento  ,1
1064590461338349568,SacCountyDot,2018-11-19 18:45:19+00:00,sacdot by the numbers  we fixed 4600 streetlights in the county in 2018  call 311 to request streetlight  ,,,official,California,sacdot by the numbers  we fixed 4600 streetlights in the county in 2018  call 311 to request streetlight  ,0
1063130872352854016,SacCountyDot,2018-11-15 18:05:26+00:00,sacdot by the numbers  we maintain 22466 street markings around sac county  faded street markings are hazardous at night or during bad weather  call 311 to report faded street  ,,,official,California,sacdot by the numbers  we maintain 22466 street markings around sac county  faded street markings are hazardous at night or during bad weather  call 311 to report faded street  ,0
1060594132941447168,SacCountyDot,2018-11-08 18:05:20+00:00,sacdot by the numbers  crews over 35 miles of asphalt overlay repairs & 15 miles of road shoulder grading in  ,,,official,California,sacdot by the numbers  crews over 35 miles of asphalt overlay repairs & 15 miles of road shoulder grading in  ,0
1065279378286764032,ShastaHHSA,2018-11-21 16:22:50+00:00,nice try you sly turkey  be safe at your holiday feasts by following these tips from the california department of public health    … # ,#ShastaWellnesspic,,official,California,nice try you sly turkey  be safe at your holiday feasts by following these tips from the california department of public health    … # ,0
1065042312776937472,ShastaHHSA,2018-11-21 00:40:49+00:00,2 2 to get rain ready this season visit   for tips information and resources  #carrfire #deltafire #hirzfire #norcal #redding  cityofredding  cityshastalake   ,#carrfire #deltafire #hirzfire #norcal #Redding,,official,California,2 2 to get rain ready this season visit   for tips information and resources  #carrfire #deltafire #hirzfire #norcal #redding  cityofredding  cityshastalake   ,1
1065042308427526144,ShastaHHSA,2018-11-21 00:40:48+00:00,1 2 rain is expected this week and were more at risk for dangerous flash floods and debris flows  due to the damage from the wildfires well be facing elevated risks for some time  #carrfire #deltafire #hirzfire #norcal #redding  cityofredding  cityshastalake   ,#carrfire #deltafire #hirzfire #norcal #Redding,,official,California,1 2 rain is expected this week and were more at risk for dangerous flash floods and debris flows  due to the damage from the wildfires well be facing elevated risks for some time  #carrfire #deltafire #hirzfire #norcal #redding  cityofredding  cityshastalake   ,1
1064656229044088833,ShastaHHSA,2018-11-19 23:06:40+00:00,dont let the stress from recent wildfires cause you to slip up  find out ways to fight the urge at    …,,,official,California,dont let the stress from recent wildfires cause you to slip up  find out ways to fight the urge at    …,1
1063549614572265473,ShastaHHSA,2018-11-16 21:49:22+00:00,the air is unhealthy today and may continue to be for the near future  remember to use your n95 masks correctly  also n95 masks can be used for longer than 8 hours for wildfire smoke protection  that length of life is for protecting against infectious diseases  # ,#campfirepic,,official,California,the air is unhealthy today and may continue to be for the near future  remember to use your n95 masks correctly  also n95 masks can be used for longer than 8 hours for wildfire smoke protection  that length of life is for protecting against infectious diseases  # ,1
1063548753603252224,ShastaHHSA,2018-11-16 21:45:57+00:00,#campfire survivors who are staying in shasta county can access wic services at our locations  click here to learn more    …   ,#CampFire,,official,California,#campfire survivors who are staying in shasta county can access wic services at our locations  click here to learn more    …   ,1
1063206451449974784,ShastaHHSA,2018-11-15 23:05:46+00:00,once we heard many #campfire evacuees are staying at #redding hotels we printed up some resource flyers hit the pavement and left these at hotel lobbies around town  the hotel staff were elated to have these available for their guests  # ,#CampFire #Redding #wildfiresolidaritypic,,official,California,once we heard many #campfire evacuees are staying at #redding hotels we printed up some resource flyers hit the pavement and left these at hotel lobbies around town  the hotel staff were elated to have these available for their guests  # ,1
1063166688537960448,ShastaHHSA,2018-11-15 20:27:45+00:00,come down and join us in the shopping center at dana dr  and churn creek rd  for the great american smokeout  ,,,official,California,come down and join us in the shopping center at dana dr  and churn creek rd  for the great american smokeout  ,0
1063161569540898816,ShastaHHSA,2018-11-15 20:07:25+00:00,open to anyone impacted by wildfire  #carrfire #campfire #hirzfire # ,#carrfire #campfire #hirzfire #deltafirepic,,official,California,open to anyone impacted by wildfire  #carrfire #campfire #hirzfire # ,0
1063139201024049152,ShastaHHSA,2018-11-15 18:38:32+00:00, unitedwaynorcal is providing emergency cash grants to #campfire evacuees   calfire butteco  countyofbutte learn more here   …,#campfire,,official,California, unitedwaynorcal is providing emergency cash grants to #campfire evacuees   calfire butteco  countyofbutte learn more here   …,0
1062866962718515201,ShastaHHSA,2018-11-15 00:36:45+00:00,#campfire evacuees  if youre staying here in shasta county we can help you apply for replacement calfresh food assistance  just stop at one of our offices    … #wildfiresolidarity #norcal  shastasheriff  calfire butteco   ,#CampFire #wildfiresolidarity #Norcal,,official,California,#campfire evacuees  if youre staying here in shasta county we can help you apply for replacement calfresh food assistance  just stop at one of our offices    … #wildfiresolidarity #norcal  shastasheriff  calfire butteco   ,1
1062746031853494272,ShastaHHSA,2018-11-14 16:36:13+00:00,if youre a #carrfire survivor and could use some extra support connect with our cal hope shasta outreach workers  theyll provide an empathetic ear and help find other resources  #redding #norcal #shastacounty    211norcal   ,#CarrFire #Redding #NorCal #ShastaCounty,,official,California,if youre a #carrfire survivor and could use some extra support connect with our cal hope shasta outreach workers  theyll provide an empathetic ear and help find other resources  #redding #norcal #shastacounty    211norcal   ,1
1062423873453350912,ShastaHHSA,2018-11-13 19:16:04+00:00,some areas of shasta county may be seeing poor air quality due to smoke filtering into our area  for tips go to    … if you no longer have n95 masks they are available at may local pharmacies and medical supply stores  #campfire #strongerthancarr,#CampFire #StrongerThanCarr,,official,California,some areas of shasta county may be seeing poor air quality due to smoke filtering into our area  for tips go to    … if you no longer have n95 masks they are available at may local pharmacies and medical supply stores  #campfire #strongerthancarr,1
1060704220406472704,ShastaHHSA,2018-11-09 01:22:47+00:00,our public health nurses have been sent to help people at #campfire shelters in butte county  were also assessing how many open beds we have locally at skilled nursing facilities  #wildfiresolidarity #shastacounty #reddingca,#campfire #wildfiresolidarity #ShastaCounty #ReddingCA,,official,California,our public health nurses have been sent to help people at #campfire shelters in butte county  were also assessing how many open beds we have locally at skilled nursing facilities  #wildfiresolidarity #shastacounty #reddingca,0
1060601515620986880,ShastaHHSA,2018-11-08 18:34:41+00:00,our thoughts and prayers go out to paradise and butte county  if the #campfire is triggering any stress related to this summers wildfires consider using the disaster distress helpline and cal hope shasta    … ,#campfire,,official,California,our thoughts and prayers go out to paradise and butte county  if the #campfire is triggering any stress related to this summers wildfires consider using the disaster distress helpline and cal hope shasta    … ,1
