Id,SalePrice
2658,122635.18213408918
2718,186250.6955249234
2414,207326.3268398007
1989,122130.22724887356
625,177884.27835109585
333,95215.2878363413
1327,111688.06765122735
858,154728.98568729812
95,201828.15128649247
1568,153613.5394622368
2482,179759.56019147043
1364,123910.07232063788
2584,155024.12934470142
818,238282.36557324824
2673,166005.82335792936
2089,128279.74549374182
1297,146244.92156606552
790,114154.36703111895
2616,188167.54740465304
720,199806.1339478118
222,147433.78014837345
557,103276.4699634515
1148,212593.60486024478
2766,136776.55196064734
534,195318.99692612304
1452,106923.16782617313
630,148275.20270914107
2648,147253.24190688413
125,140459.59003140312
1904,49441.37399443949
1670,94979.13446819596
756,95161.43667059683
717,231762.01235671283
1032,158440.56018152565
852,224211.47479469643
1731,172969.25821798306
2639,118242.91649630712
2071,59274.58402851364
1267,132916.72181987006
1851,198508.42949792312
567,167947.04925697204
2439,221322.22633036703
1898,149153.5457914879
647,157909.96660154907
2256,229546.0090040916
979,130833.57308538991
1444,219085.15700814978
2485,110185.77273852075
157,116864.43892095087
88,118321.00111547101
2003,110475.78775334521
186,204722.14257947786
1425,247960.78448624047
2695,132906.6107843856
738,117544.2069686167
395,149406.8582916616
1353,155280.22657185444
1878,146162.0893892385
390,163460.45113091322
1456,222415.18490104808
1103,277224.67521089606
1387,108438.18919458578
2070,150605.10901065485
1199,167172.73500302702
2479,182530.5170374062
501,288453.2429039943
2362,98699.73572217685
1718,206093.21954500757
2188,93098.91032636177
1483,173244.93936308275
2557,65756.22523362504
437,290852.93822144857
2224,182246.5687704808
1628,197521.74978342943
397,126010.14049539377
587,204399.98194154934
2182,470247.8327914841
971,147459.59413000662
2611,143317.52335685643
1887,83673.60954083363
2399,319776.4617686792
2148,223599.40818787017
304,114509.20723820722
1997,146179.98391233617
2817,114147.0508689041
1431,170132.37179244962
427,311590.9199338519
263,107642.90870685852
598,186821.90736221382
2895,249512.20157613896
687,143769.43544950092
1822,130656.56280893332
2191,96208.89387017663
179,120485.8599788131
1009,218409.9125577371
2010,116883.89035427349
1991,150172.63287566614
1411,165138.0261587709
1721,242279.98375811637
1144,188620.66603503993
593,210591.85831316106
575,286655.80014051474
1249,195637.69415217196
1604,114472.23729897593
1064,371370.7926461274
1923,152106.27727579465
1988,122659.65319091163
2325,175689.81540828815
114,188252.56748223142
2700,179768.93048643146
217,141788.49246595963
343,184947.0147430963
386,235935.56818046293
2005,119105.02938446158
2908,142725.72952492966
1814,218074.86445799982
2446,391239.7633694402
208,158108.7839254439
1679,122165.4473021212
822,305645.5006100618
6,179930.5647246336
1781,346222.1645698544
2397,283379.88518071163
2340,274515.1522264044
1618,154584.70534827316
2843,139034.06070504594
1061,305772.25512802333
2786,110748.46341976861
1935,130439.0641156045
1341,126150.78753053863
521,253032.514020029
2136,132842.23703192116
996,176483.41022171592
227,133523.5295843091
135,170293.72017800843
1167,155798.75774663256
294,219352.68764330144
1776,201712.60948993976
540,184420.41860882635
1717,206093.21954500757
2303,118775.34894616343
116,182865.28517019434
127,132634.51419640332
1371,128315.6360918826
1014,164565.61952673027
1507,96520.98886498332
702,148914.002124793
750,138520.2787519301
261,144719.72430394008
1559,52423.81526159309
577,220801.71145426296
2812,203294.75131591829
2080,154377.31490115414
1368,133763.69293982524
2376,115076.0633280382
659,124535.9094836975
1235,115439.40603316145
332,98377.54745489638
1917,141089.4334046829
2094,233928.74268735072
1460,258914.28464584553
1471,200896.37573799922
1509,115046.81000761467
1922,120477.30624685751
433,377811.3359688703
460,295093.75723484147
1116,244601.44758464908
1137,160716.99450456165
53,186764.2517488714
2354,246894.39130580286
1475,201615.91289991827
1761,401856.25860384724
842,126189.17695027252
2739,156934.62812447862
2509,178380.0878433641
1007,223177.72528629366
2610,185610.99328326038
1952,102737.34835415904
2719,176293.51639227127
2921,94447.5575216863
1966,129337.39097149787
